"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL"
"BRWD1",-0.693892504047946,8.85430539057896,-6.48669177341189,7.51707826679584e-09,2.92266587466638e-06,10.0512475953828,"BRWD1"
"LAMA5",0.552155925107433,10.6610910429311,6.48387970918244,7.60843935596017e-09,2.92266587466638e-06,10.0397097705231,"LAMA5"
"C1ORF165",-0.372290127891042,7.8513598157584,-6.48253833662003,7.6524059178962e-09,2.92266587466638e-06,10.034206631661,"C1ORF165"
"PRR16",-0.189473890785403,6.78380250164398,-6.46816150127021,8.13974122533413e-09,3.0717832957511e-06,9.97524340443573,"PRR16"
"MCM7",0.554161068474602,7.91240099882916,6.44943616374515,8.82084458105305e-09,3.23664981985041e-06,9.89849951919371,"MCM7"
"TCL1B",0.183868556392503,6.76094450076861,6.44846474354255,8.85767932633353e-09,3.23664981985041e-06,9.89451992281359,"TCL1B"
"NDUFAB1",-0.521215226142537,11.2317075805506,-6.44780141918016,8.88291906394277e-09,3.23664981985041e-06,9.89180259115107,"NDUFAB1"
"BRF2",-0.305191171124999,7.68722455732952,-6.44344328938272,9.05052846824288e-09,3.25331052956345e-06,9.87395127985993,"BRF2"
"SAP30L",0.428487100348553,8.36397084836878,6.44130516950275,9.13390022495733e-09,3.25331052956345e-06,9.86519456017609,"SAP30L"
"FBL",0.379973806221612,8.93303333614168,6.4273617484136,9.69656556104676e-09,3.40976097876401e-06,9.8081087584972,"FBL"
"CYP2C8",-0.406866404582153,7.19993181195402,-6.42516538871974,9.78827284124684e-09,3.40976097876401e-06,9.79911977887268,"CYP2C8"
"PLXNB1",0.88849448640407,9.38008705488955,6.41931171881312,1.00369053946043e-08,3.43606186125286e-06,9.77516682644977,"PLXNB1"
"CRMP1",-0.390796714394227,8.84776078819346,-6.41829877967961,1.00805600345904e-08,3.43606186125286e-06,9.7710225461911,"CRMP1"
"PTBP1",0.576808702870634,10.6355161978955,6.41536905350008,1.02078838005461e-08,3.44244591997141e-06,9.75903706810188,"PTBP1"
"ITSN1",0.762471328916247,9.25049892143147,6.40860579316201,1.05079248058879e-08,3.50632859312261e-06,9.73137452060658,"ITSN1"
"FBXO16",-0.188822168116097,6.69782146658112,-6.40508449490274,1.06675823456532e-08,3.52252458705424e-06,9.71697524357305,"FBXO16"
"ATP6V1E1",-0.631425772655755,11.7500195163765,-6.40157812977639,1.08289495919458e-08,3.53894538211014e-06,9.70263925301983,"ATP6V1E1"
"MTMR10",0.352584055672486,9.32761304860359,6.38329922130633,1.17101337394057e-08,3.78786979121591e-06,9.62794090738082,"MTMR10"
"CFLAR",0.754303829423254,9.50872227813123,6.37604084969128,1.20794176995563e-08,3.86785395026196e-06,9.59829585024801,"CFLAR"
"PCDH8",-0.367216474271821,6.8541409158411,-6.36030563187742,1.29200361901496e-08,4.09565147227743e-06,9.53406246501341,"PCDH8"
"MRPL21",-0.326444640845077,8.45058669563111,-6.34900185628342,1.35594149332286e-08,4.25577676617174e-06,9.48794718161253,"MRPL21"
"CORT",-0.22091378822089,6.71259726355312,-6.34501196465532,1.37924956932744e-08,4.28649130859608e-06,9.47167557067159,"CORT"
"PLEKHH3",0.454761510029875,8.11361462234592,6.33854497807185,1.41787351221075e-08,4.36328099316344e-06,9.44530818648621,"PLEKHH3"
"DDX39",0.449061167800368,8.82453061552897,6.33630718245731,1.4314865087981e-08,4.36328099316344e-06,9.43618601192069,"DDX39"
"KCNJ10",0.598416658550216,8.73794199936436,6.32167238226505,1.52375849952159e-08,4.48179552232936e-06,9.37655186527811,"KCNJ10"
"C6ORF225",0.511222878705876,8.17577187085775,6.32011149331352,1.53394073657822e-08,4.48179552232936e-06,9.37019392280673,"C6ORF225"
"DDIT4L",0.902729262454809,9.1428349998845,6.31671316705461,1.55634273993455e-08,4.48179552232936e-06,9.35635318184199,"DDIT4L"
"CHD7",0.564897369204186,8.76056085683189,6.31629109628587,1.55914756911511e-08,4.48179552232936e-06,9.35463432093361,"CHD7"
"FAM65C",0.618916601872593,7.21798759424564,6.31553127345684,1.56420951192723e-08,4.48179552232936e-06,9.35154006823289,"FAM65C"
"SVOP",-0.991842976265783,8.67981615576535,-6.31486103497157,1.56868814348245e-08,4.48179552232936e-06,9.34881072437304,"SVOP"
"PPFIBP2",0.648156428489573,8.81943488603578,6.31277222135581,1.58272747242454e-08,4.48179552232936e-06,9.34030521176176,"PPFIBP2"
"KLHL35",-0.415801263192058,8.12931883631142,-6.31266173932899,1.58347349684823e-08,4.48179552232936e-06,9.33985535937328,"KLHL35"
"LINGO1",-0.645042216045759,9.26340632652574,-6.30261548237102,1.65278530989334e-08,4.63657471890433e-06,9.29895953826734,"LINGO1"
"ARAP1",0.282951989082934,7.22928315641704,6.28984384011505,1.74524980989953e-08,4.85301920822939e-06,9.2469973862664,"ARAP1"
"C6ORF154",-0.300189552782308,7.09849100394573,-6.2855964375084,1.77712041567991e-08,4.89867105887419e-06,9.22972358055855,"C6ORF154"
"TNIP1",0.341089393442013,8.09755472200991,6.27429850514167,1.86472562240044e-08,5.09584501983568e-06,9.18379299107821,"TNIP1"
"VSTM2L",-0.596925511650509,8.38269903454154,-6.26757885019738,1.91884300439658e-08,5.19891651618561e-06,9.15648675426655,"VSTM2L"
"MSC",-0.131088071836121,6.55750846363848,-6.25741634470727,2.00365322601122e-08,5.38269553089455e-06,9.1152068882179,"MSC"
"CMTM4",0.292506423577855,9.03751551939002,6.25342800215024,2.03794170810706e-08,5.38437489237193e-06,9.09901190278715,"CMTM4"
"B4GALT4",0.368058453715203,8.06998849248968,6.2533925400966,2.03824917061398e-08,5.38437489237193e-06,9.0988679203949,"B4GALT4"
"CAMK1G",-0.704720528988251,7.88774060209759,-6.22995381649896,2.25183973683409e-08,5.89944790559012e-06,9.00375720603375,"CAMK1G"
"PCSK1",-1.20850213054497,8.03284971499221,-6.21076969233936,2.44301817866997e-08,6.24310666555364e-06,8.92599309043061,"PCSK1"
"BGN",0.761621782913455,11.017742161939,6.20868678658111,2.46471759200288e-08,6.24310666555364e-06,8.91755438120011,"BGN"
"PCYOX1L",-0.485243609247156,7.3863384871065,-6.20817694328562,2.47005804008381e-08,6.24310666555364e-06,8.91548893046835,"PCYOX1L"
"NINJ1",0.554336646410301,8.78689682234579,6.20755051539989,2.47663534587508e-08,6.24310666555364e-06,8.91295125074413,"NINJ1"
"KIAA0090",-0.321891803784101,8.78342566620821,-6.20612644992599,2.49165212362192e-08,6.24310666555364e-06,8.90718261262092,"KIAA0090"
"LRRC32",0.771069689522323,8.76392296331785,6.20522715593642,2.50118153478017e-08,6.24310666555364e-06,8.90353994416503,"LRRC32"
"INPP5D",0.559417973577026,7.68323067819944,6.20315665089153,2.52325898032936e-08,6.24900856847192e-06,8.89515381070652,"INPP5D"
"RIMS1",-0.245619082844975,6.78241691444968,-6.19229435499549,2.64227790086642e-08,6.49303949282678e-06,8.85117279465296,"RIMS1"
"WBP11",-0.274507054109222,8.83208655810719,-6.18820887812661,2.6884651945608e-08,6.55571897442903e-06,8.83463712340713,"WBP11"
"ITGA10",0.511307136627435,7.46006897597984,6.18079400271345,2.77434054893162e-08,6.65033475692344e-06,8.80463474201351,"ITGA10"
"HOPX",-0.795094791401734,9.59050834103987,-6.17921368899958,2.79299063194897e-08,6.65033475692344e-06,8.79824187894741,"HOPX"
"RNFT2",-0.338985577173522,8.76483238578541,-6.17698660961339,2.81948414734441e-08,6.65033475692344e-06,8.78923352463629,"RNFT2"
"PRKAR1B",-0.395962700797157,6.87443014797929,-6.17621210267812,2.82875585551533e-08,6.65033475692344e-06,8.78610094827372,"PRKAR1B"
"ITPRIP",0.667423840095555,8.05508096924401,6.17592824511481,2.83216148954153e-08,6.65033475692344e-06,8.78495288707584,"ITPRIP"
"DUSP28",-0.285332497122118,8.37777604573263,-6.1730047591594,2.86747330376692e-08,6.68374292128026e-06,8.7731298287969,"DUSP28"
"LPA",-0.0496257401685378,6.56551679520846,-6.16650035335088,2.94760708432502e-08,6.8203755162849e-06,8.74683131869571,"LPA"
"FAM174A",-0.471931577107722,7.88706847529701,-6.15949984980823,3.03632749528295e-08,6.9747522898891e-06,8.71853685754271,"FAM174A"
"EZR",0.689918673709158,12.0632467000579,6.14782717905883,3.19016756450784e-08,7.2636787879569e-06,8.67138139892307,"EZR"
"ARHGEF10",0.529892071587991,9.80794339014553,6.14103358048243,3.28322515245637e-08,7.2636787879569e-06,8.64394971868485,"ARHGEF10"
"LOC285550",-0.549133662331117,8.85831687258848,-6.14100995128633,3.28355345879767e-08,7.2636787879569e-06,8.64385432405251,"LOC285550"
"RQCD1",-0.382871636457974,7.46357357035994,-6.13989682002088,3.29905624016338e-08,7.2636787879569e-06,8.63936057906566,"RQCD1"
"TRABD",0.722381370534244,10.0240305743557,6.13946202844928,3.30513129172325e-08,7.2636787879569e-06,8.63760538347791,"TRABD"
"LOC284988",0.647415335337959,9.24852607029281,6.13911258297168,3.31002187359784e-08,7.2636787879569e-06,8.63619474772997,"LOC284988"
"VIL2",0.782404789661589,11.3258412182929,6.1382230863627,3.32250291562697e-08,7.2636787879569e-06,8.6326041592904,"VIL2"
"C17ORF58",-0.350566501188714,8.20681268003935,-6.13307257135657,3.39569267672307e-08,7.35209471198027e-06,8.61181662333118,"C17ORF58"
"PIGZ",-0.366198720367922,7.34654543759839,-6.13212495630323,3.40933098631262e-08,7.35209471198027e-06,8.60799265255763,"PIGZ"
"COPS8",-0.363813513799533,8.94591043808772,-6.1275560890257,3.47585084984099e-08,7.44489675269996e-06,8.58955829847385,"COPS8"
"PLCB1",-0.545581067319732,9.62074467855739,-6.10640236297386,3.80094094175442e-08,8.08656562775941e-06,8.50426600591479,"PLCB1"
"KLHDC5",-0.413112291286641,10.2815995445156,-6.10126894290195,3.88425692446645e-08,8.20872963370577e-06,8.4835824723769,"KLHDC5"
"C14ORF139",0.136834704937752,6.74885812172356,6.09834240333898,3.93256004017553e-08,8.25577173997114e-06,8.47179343746203,"C14ORF139"
"ANTXR2",0.417377191866224,7.63332270739139,6.09218682943673,4.03610465474719e-08,8.41740247075565e-06,8.44700289180588,"ANTXR2"
"SERF1A",-0.114408751185569,6.76395105802813,-6.08769215910682,4.11340804273433e-08,8.50711850510576e-06,8.42890656838922,"SERF1A"
"RNF114",0.339810513840236,9.82774993782003,6.08657798764396,4.13279574065075e-08,8.50711850510576e-06,8.42442140230177,"RNF114"
"LASS1",0.63838255534673,8.67226947036752,6.08085279415533,4.23385284118412e-08,8.61836601773682e-06,8.4013785629132,"LASS1"
"TNS1",0.364073312596869,7.12519472641232,6.08044100726699,4.24121482260866e-08,8.61836601773682e-06,8.39972147390588,"TNS1"
"KANK2",0.385920142744233,7.23333283766596,6.07697507413844,4.30368258419571e-08,8.68960114133783e-06,8.38577554005772,"KANK2"
"STAT4",-1.10647308513458,8.07850224693699,-6.07307368254698,4.3750867731364e-08,8.77786396888759e-06,8.37008060161235,"STAT4"
"VIP",-0.707209161843862,8.24489549043317,-6.06617105063269,4.50429908309503e-08,8.95936850758597e-06,8.34232016343719,"VIP"
"SCG3",-0.618795913549327,9.99874428989105,-6.06523659213036,4.52207874199923e-08,8.95936850758597e-06,8.33856284329766,"SCG3"
"HS.362343",-0.277556765034531,6.85152771202408,-6.05853239816559,4.65168657944503e-08,9.15891084275823e-06,8.31161193371907,"HS.362343"
"LAMC1",0.434628766077932,9.2710847087017,6.05545482104781,4.71240578522531e-08,9.22118909824954e-06,8.29924338936902,"LAMC1"
"CHP",-0.469786671295436,9.09489091765008,-6.04205379905294,4.98605843027583e-08,9.69681302084318e-06,8.24541031521034,"CHP"
"ITPKB",0.897411087756776,9.70520985224714,6.0386530198924,5.0579643985431e-08,9.73573516219267e-06,8.23175547666758,"ITPKB"
"C10ORF104",0.412149093299632,8.24932052071771,6.03820580303772,5.06749622006874e-08,9.73573516219267e-06,8.22996000060817,"C10ORF104"
"GPRASP2",-0.885820439245039,8.95336993449641,-6.03409622136793,5.15592115933807e-08,9.80043407634203e-06,8.21346304897066,"GPRASP2"
"PEX11B",-0.64130390335376,9.56264443938736,-6.03377002876141,5.16300470267861e-08,9.80043407634203e-06,8.2121537879347,"PEX11B"
"PTPRN",-0.884508832809244,7.89185330154669,-6.03062087705732,5.2318873923814e-08,9.81869830372736e-06,8.19951505970531,"PTPRN"
"CITED1",-0.16934190561667,6.67775356312797,-6.03049887516796,5.23457417454235e-08,9.81869830372736e-06,8.1990254652745,"CITED1"
"CCDC102A",0.44978120107566,7.17251481008297,6.02887838806059,5.27039081771054e-08,9.82772876008377e-06,8.19252275763765,"CCDC102A"
"UBE2V2",-0.405261475516161,8.57452402212595,-6.02098023566403,5.44845326033028e-08,1.00905908306877e-05,8.16083746143539,"UBE2V2"
"FAM54A",-0.0825389669083165,6.67161326340758,-6.01875279558015,5.49973577113373e-08,1.00905908306877e-05,8.15190411489744,"FAM54A"
"CCDC125",0.673235169993804,11.6203015237939,6.01844530851592,5.50685240917655e-08,1.00905908306877e-05,8.15067099909349,"CCDC125"
"CISD1",-0.60297172618656,10.8077575133677,-6.01660607972676,5.5496107459122e-08,1.01104977382423e-05,8.14329558551231,"CISD1"
"NGFRAP1",-0.467963014571367,10.5679384009264,-6.0152386122761,5.58161393761641e-08,1.01106949612823e-05,8.13781246023058,"NGFRAP1"
"ZNF22",0.279324476979895,9.07831802970878,6.00597968411502,5.80314946333847e-08,1.04522635220358e-05,8.10069819859557,"ZNF22"
"ADAM32",-0.0682207003751483,6.5961052345991,-6.00251983484993,5.88814188202325e-08,1.05454292463354e-05,8.0868344727489,"ADAM32"
"TNFRSF10B",0.330526876780295,7.37130854706595,5.99175116831527,6.16062228908895e-08,1.0971445312591e-05,8.04370165006444,"TNFRSF10B"
"C5ORF22",-0.431159582447631,7.13259076638494,-5.98782856697298,6.26293890543235e-08,1.10913499051511e-05,8.0279966892946,"C5ORF22"
"C15ORF52",0.772545937765273,9.09901060304656,5.98515105652512,6.33374035092636e-08,1.11544205069092e-05,8.01727875140416,"C15ORF52"
"TRIP10",0.284038930012667,6.9154407675122,5.97374098286106,6.64442140853803e-08,1.16369148425776e-05,7.97162341734832,"TRIP10"
"MGC5457",0.336322791236168,7.52581523907059,5.96823294243755,6.79973540534644e-08,1.18434951840375e-05,7.9495948226304,"MGC5457"
"DHDDS",-0.240543733426636,7.6619310223393,-5.95851431403002,7.08256672049263e-08,1.2203852024895e-05,7.91074387994004,"DHDDS"
"PLCG1",0.374307986161638,8.64065099976657,5.95841805404147,7.08542536454497e-08,1.2203852024895e-05,7.91035918406067,"PLCG1"
"BEX5",-0.970227017757786,8.37069713147897,-5.95718575558793,7.1221218441816e-08,1.2203852024895e-05,7.90543458707416,"BEX5"
"CRYM",-0.707610461337982,7.54304335464702,-5.95373095859721,7.22600505382279e-08,1.2269995597002e-05,7.89163018776293,"CRYM"
"MZF1",0.280446601033615,8.71741979828161,5.95215016480941,7.27403573419548e-08,1.2269995597002e-05,7.88531471507483,"MZF1"
"ITGB5",0.691687601719105,8.73321228182965,5.94904210190582,7.36939149888663e-08,1.2269995597002e-05,7.87289932314235,"ITGB5"
"LMTK2",-0.271582781074067,7.116189559995,-5.94896562332344,7.37175335800422e-08,1.2269995597002e-05,7.87259385236593,"LMTK2"
"TSPO",0.586556052952345,8.78892471139403,5.94748961837845,7.41748289180117e-08,1.2269995597002e-05,7.86669866318761,"TSPO"
"TLR5",0.486805716012984,7.34065250791607,5.94720121720573,7.42645077017872e-08,1.2269995597002e-05,7.86554684395965,"TLR5"
"CYTSA",0.423513206334876,9.62997372835435,5.94703355219299,7.43166925749019e-08,1.2269995597002e-05,7.86487723092915,"CYTSA"
"UBE2N",-0.781925275674421,10.3129532399958,-5.9451873572047,7.48937101145601e-08,1.23011948737386e-05,7.8575044188447,"UBE2N"
"TLN2",-0.492943746108709,8.89535684911091,-5.94261654969834,7.57045732900485e-08,1.23702833674976e-05,7.84723919554322,"TLN2"
"SLC5A3",1.16525532188604,8.78620879614168,5.93997904875323,7.65454766241017e-08,1.23925993284236e-05,7.83670929066814,"SLC5A3"
"ENAH",0.382581231809089,8.68244424114326,5.93973730116883,7.66230116205373e-08,1.23925993284236e-05,7.83574422497421,"ENAH"
"TBC1D2B",0.375703020074672,8.17782517011418,5.93393830100876,7.8506314166325e-08,1.26327419242259e-05,7.81259854690232,"TBC1D2B"
"TGIF2",0.263976893006309,6.92237518956402,5.92918637677333,8.00835597480549e-08,1.28214588081482e-05,7.79363804395811,"TGIF2"
