"symbol","RO","RA","RA-RO","PRA-RO","FDR"
"FAAHP1",3.16468419260352,4.65621493827623,1.49153074567271,1.75148374884189e-06,0.000852972585686001
"RBM14",7.07217618896388,7.90251837502987,0.83034218606599,2.11173507385869e-06,0.000983701286144434
"GJA9-MYCBP",1.65524217343091,2.54603991939672,0.89079774596581,2.40415339992711e-06,0.00107325414695079
"NEAT1",9.35432786528436,10.7301333103936,1.37580544510929,2.91484082313902e-06,0.00120113863765813
"STARD10",7.37675521592368,8.00604392456584,0.629288708642158,2.97877058617885e-06,0.00120432256831397
"C7orf61",4.93410143968268,6.5771130103564,1.64301157067372,3.69462780933615e-06,0.00138839922815231
"KPTN",5.88442668889666,6.59239424875962,0.707967559862952,3.87760287672964e-06,0.00140829278716208
"RAF1",8.0329178233547,8.37823879931464,0.345320975959941,5.19239201912527e-06,0.00174814331950216
"SLC7A9",3.17754643488557,4.12068182986435,0.943135394978786,5.38442500873354e-06,0.00174814331950216
"CCDC144CP",5.80080580189201,6.59885696341446,0.798051161522443,6.00913216494704e-06,0.0018394812004355
"HP1BP3",9.03801775917028,9.48054305213161,0.442525292961333,6.43011699130328e-06,0.0019051953088148
"TFCP2L1",2.17063319044293,3.27611356538363,1.1054803749407,6.49053843305398e-06,0.0019051953088148
"NFKBIA",8.57035053864586,9.2624199338008,0.692069395154942,6.66065571631187e-06,0.00192870987417744
"DNAJC9",6.38898145201948,6.82184321340988,0.4328617613904,7.83083801255067e-06,0.00207248665965369
"TFDP2",6.15704595917927,6.62206165343011,0.465015694250842,7.7036434121615e-06,0.00207248665965369
"USP31",7.30579973745923,7.88566862370065,0.579868886241418,7.50013962466362e-06,0.00207248665965369
"ABCC2",1.84697674931386,2.94047834647895,1.09350159716509,7.93092710899771e-06,0.00207248665965369
"ADORA2A",1.73799359674819,3.18123895063214,1.44324535388395,7.92847894335661e-06,0.00207248665965369
"HDAC4",7.56808878232753,8.05848132157243,0.490392539244899,8.05121924771639e-06,0.00207857260289237
"FOXJ1",4.0472107442674,5.87070622454379,1.82349548027639,8.7893109367081e-06,0.00218996924129978
"ZBTB40",6.39679893185004,6.87921279755326,0.482413865703219,9.56665795355341e-06,0.00235625685780164
"ZFYVE19",6.50406891710017,6.94186608266021,0.437797165560034,9.87594224904105e-06,0.0024047919376415
"ADAMTS2",4.04469472975067,5.33350941390814,1.28881468415747,1.13907426353411e-05,0.00268311836352984
"AUP1",7.78371907063461,8.22825177228309,0.444532701648482,1.21082214412142e-05,0.00278983837679933
"FAM118A",5.7394890104991,6.66107675378966,0.921587743290559,1.25411102946099e-05,0.00285565147967089
"CREBBP",8.2838385270526,8.67780470332733,0.393966176274729,1.34324975354676e-05,0.00299824538739582
"PARP16",5.04339147294297,5.45579645960006,0.412404986657081,1.38061760004543e-05,0.0030187626463034
"CDC26",4.22751612902793,4.93823115687831,0.710715027850376,1.40142226781687e-05,0.00303330064189696
"SPECC1L",5.83394615984416,6.34764368197253,0.513697522128374,1.55354624066554e-05,0.00332893888449812
"LOC105376772",0.83410623416002,3.1184368442596,2.28433061009958,1.61303451865651e-05,0.0034132716114878
"TOP3B",6.03569970733885,6.63891505089817,0.60321534355932,1.67708035517499e-05,0.00344479462578902
"LRIT1",0.292385062476396,1.36319151799127,1.07080645551488,1.73622279067209e-05,0.00344479462578902
"LBX2",2.52720073005427,3.89790355652915,1.37070282647488,1.70884271046249e-05,0.00344479462578902
"LINC00463",2.80196138953463,4.53053728717559,1.72857589764096,1.7736461092077e-05,0.00348676044294519
"HSPB7",3.14290239777584,4.16109039402212,1.01818799624628,1.99112795343209e-05,0.00361575337170701
"ZNF341-AS1",2.06470292245944,3.58298319603296,1.51828027357352,2.17301210340229e-05,0.0038482068885706
"SPACA6P-AS",2.86765628603603,3.92479796753907,1.05714168150304,2.46971868841338e-05,0.00433779770945262
