"SYMBOL","nprobes","meanlogFC","minadjP","meanB"
"UBE2V2",1,-0.405261475516161,1.00905908306877e-05,8.16083746143539
"CISD1",1,-0.60297172618656,1.01104977382423e-05,8.14329558551231
"NGFRAP1",1,-0.467963014571367,1.01106949612823e-05,8.13781246023058
"ZNF22",1,0.279324476979895,1.04522635220358e-05,8.10069819859557
"ADAM32",1,-0.0682207003751483,1.05454292463354e-05,8.0868344727489
"TNFRSF10B",1,0.330526876780295,1.0971445312591e-05,8.04370165006444
"C5ORF22",1,-0.431159582447631,1.10913499051511e-05,8.0279966892946
"C15ORF52",1,0.772545937765273,1.11544205069092e-05,8.01727875140416
"TRIP10",1,0.284038930012667,1.16369148425776e-05,7.97162341734832
"MGC5457",1,0.336322791236168,1.18434951840375e-05,7.9495948226304
"BEX5",1,-0.970227017757786,1.2203852024895e-05,7.90543458707416
"DHDDS",1,-0.240543733426636,1.2203852024895e-05,7.91074387994004
"PLCG1",1,0.374307986161638,1.2203852024895e-05,7.91035918406067
"CRYM",1,-0.707610461337982,1.2269995597002e-05,7.89163018776293
"CYTSA",1,0.423513206334876,1.2269995597002e-05,7.86487723092915
"ITGB5",1,0.691687601719105,1.2269995597002e-05,7.87289932314235
"LMTK2",1,-0.271582781074067,1.2269995597002e-05,7.87259385236593
"MZF1",1,0.280446601033615,1.2269995597002e-05,7.88531471507483
"TLR5",1,0.486805716012984,1.2269995597002e-05,7.86554684395965
"TSPO",1,0.586556052952345,1.2269995597002e-05,7.86669866318761
"UBE2N",1,-0.781925275674421,1.23011948737386e-05,7.8575044188447
"TLN2",1,-0.492943746108709,1.23702833674976e-05,7.84723919554322
"ENAH",1,0.382581231809089,1.23925993284236e-05,7.83574422497421
"SLC5A3",1,1.16525532188604,1.23925993284236e-05,7.83670929066814
"TBC1D2B",1,0.375703020074672,1.26327419242259e-05,7.81259854690232
"TGIF2",1,0.263976893006309,1.28214588081482e-05,7.79363804395811
"MAGED1",1,-0.413957459426861,1.28311776934472e-05,7.78333602905029
"TBC1D9B",1,0.308079616645696,1.28311776934472e-05,7.78482180973076
"PCNXL2",1,-0.158088477247007,1.35062315319973e-05,7.72971153015458
"SLC6A12",1,0.909107297042427,1.36651176309558e-05,7.71383470338597
"ENDOG",1,-0.298048725059721,1.36752340443067e-05,7.70842275292903
"ACRV1",1,-0.216171378131258,1.38039185795771e-05,7.69015222521759
"SLC6A17",1,-0.72369308749821,1.38039185795771e-05,7.69128920865144
"ARSG",1,-0.144612356507134,1.39311570883667e-05,7.66895058564479
"CNKSR3",1,0.452407774766664,1.39311570883667e-05,7.667561578133
"U2AF2",1,0.306108143064087,1.39311570883667e-05,7.67634159291993
"A2ML1",1,0.223568375812742,1.42511564014621e-05,7.61907309163743
"C7ORF52",1,-0.198403837440349,1.42511564014621e-05,7.61881678627131
"CAPS",1,0.599895415965972,1.42511564014621e-05,7.63641106416697
"CHCHD9",1,-0.47629910605086,1.42511564014621e-05,7.6210138867738
"DPP6",1,-0.434030677464496,1.42511564014621e-05,7.62583899954827
"YBX1",1,0.572020593519584,1.42511564014621e-05,7.6386260265025
"FYCO1",1,0.47698212606182,1.43797668971484e-05,7.60581238147339
"GCN1L1",1,0.276575514245966,1.46326778020707e-05,7.58065592357713
"PPEF1",1,-0.331536862589156,1.46326778020707e-05,7.58037385071746
"COL18A1",1,0.316864289564574,1.49472209468136e-05,7.55572565477873
"NPTX2",1,-1.2286423998672,1.505956647996e-05,7.54422916774584
"GNG13",1,-0.138072561938606,1.53545576250227e-05,7.52140315343279
"CDK2AP1",1,0.405065110764587,1.57757135467689e-05,7.49129838985189
"MRPS30",1,-0.621193563352597,1.6124819661812e-05,7.46614145024263
"ILK",1,0.33659910334965,1.63843662591953e-05,7.44664518149666
